film.title,author,lead.actor.female,genre,year,rating,content
Twilight             ,indigochildren,1,misc,2008,1,"I've never wanted to walk out of a movie so badly. I think you should give the film a chance to develop fully before forming an opinion. This was certainly not a ""film"" with any substance. The acting was horrible, the script was horrible, the whole thing was rushed and insubstantial. For being such a predicted box office hit, given the already large fan base, the budget must have been dismal. I think you would need to be no older than 10 to enjoy this film, but the kissing scene in Bella's bedroom was too passionate for a kid's movie (Bella's in her panties!?). In the books it takes them a long time to move forward with their physical relationship. The story was clearly written with teens in mind but still enjoyable for adults. The movie was a cringer. 1"
The Incredible Hulk             ,springsunnywinter,0,action,2008,10,"By the looks of the ending of Ang Lee's Hulk (2003) it seemed that there is going to be a sequel. After 5 years we now have The Incredible Hulk which is a reboot like Batman Begins. The reboot was a better idea than a sequel because Hulk (2003) wasn't a bad movie but wasn't even great either and was better off as a one film itself. But if the first attempt at a Hulk movie left you feeling a little green, good news! This version has a whole new cast, a whole new mood, and even a whole new retelling of The Hulk's originWhen I saw the trailer of The Incredible Hulk I was like ""Wow this movie looks cool"" and it lived up to my expectation also the trailer did not give too much away about the plot. The film was outrageously entertaining, fun and a perfect popcorn movie. It is the same director of The Transporter 2 so it is bound to have good action. You can see every penny spent from the $130 million budget. It is roughly (not exactly) the same amount as Hulk (2003) and The Incredible Hulk looks much, much more expensive.The story is about Bruce Banner who is trying to cure is condition that turns him into a monster but is going to use it as his weapon against the Abomination. The plot may seem simple but it is better that way because you can just concentrate on the action and the monsters.This time the Hulk is more darker and sinister looking and is more muscular than Ang Lee's Hulk. The Abomination was the icing & cherry on the cake and I'm glad that they had a proper villain this time. His name really does match his personality and he is not wearing any underpants, so girls you might want to look away otherwise you might get a fright. Overall this movie is Incredible not an Abomination. 2"
Yes Man             ,goulding_m,0,comedy,2008,10,"Despite the fact that I am a huge fan of Carrey, I admit a lot of his comedic performances are somewhat ridiculous. But this is legitimately a sensible comedy where he doesn't use a lot of his ""Rubberface"" antics and actually just acts funny. The premise of this film is intriguing and I loved watching it. Both Jim and Zooey are excellent the story is amazing. All the Carrey-haters should give this one a chance, it really deserves it. I think Jim's most recent movies have been great. It's his older movies that people hate him for. But he's becoming a legit dramatic actor who can also be funny. He sometimes goes over the top, but all-in-all he is a multi-faceted professional. This movie deserves a lot of praise because it is excellent. This brings back flashes of his performance in the extremely popular ""Eternal Sunshine of the Spotless Mind"". In closing, give ""Yes Man"" a chance. It's good for some laughs but also offers a very optimistic view on life in general. 1"
21             ,q_tipmann,0,crime,2008,2,"There are three kinds of bad movies. The kind that you'll see for free on HBO or the like if you're bored enough, the kind that are so bad they're actually funny and worth the occasional viewing, and then the kind that you never want to see again. 21 is the latter. And the only reason it got a two instead of a one was Kevin Spacey since he was the only interesting part of the whole movie.You know those movies that leave you with the feeling of ""thank god that's over""? Well, 21 goes above and beyond in terms of bad moviedom and found a way to rob us of that nice, warm, and lovely feeling of accomplishment for managing to sit through the whole thing. Among the incredibly numerous cliché's in this film you find the hero of course getting everything he ever wanted in life at the end yet for some reason the director decided to play ""You Can't Always Get What You Want"" during the wrap up portion and credits of the movie. Now I am all for movies that make you think and have a big message at the end but playing ""You Can't Always Get What You Want"" while the main character is going over in detail how he did get everything he wanted is like saying violence is bad while shooting someone repeatedly in the head, it just doesn't work.There was one thing I will give the movie. It's predictable. I love the comfortable feeling of knowing that I will be able to predict the course of each and every scene two seconds in to them. I can't stand it when the scene where the main character becomes estranged from his best friends due to varying reasons depending on the movie that are usually incredibly childish springs on me from left field, especially when its followed by the scene showing him losing his cool and doing something stupid, I hate seeing that coming! And I wouldn't have been so touched by his mom offering him $68,000.00 dollars to pay for college if it hadn't been painfully obvious she was about to do so. And of course who would want to not know without even having to think that he was going to refuse the money and make up a lie about why he was because he was ashamed of himself? Because of course no one likes original work, we need more clichés damn it! More story arcs and more recycled characters we all have seen god knows how many times!! I will cease this ragging after I bring up one more point. At the end, surprise surprise, there is a case scene of the main characters running away from the casino security. *SPOILERS* the main character Ben gives the bag of chips to Spacey's character and split up to ditch the guards. Later Spacey opens the bag and its all fake chips and they justify this by showing Ben and his girlfriend Jill switching bags but the problem with that is simple, there was no time. From the moment that Ben had the bag to the point he gave it to Kevin he was with Kevin every step of the way and the shot of the switch they're in a bathroom or some kind of hall, calm and taking their time. It again just doesn't work.I'll admit I didn't have the highest hopes ever for the movie but I had expected it to be better then this. Just keep this in mind if you're thinking about seeing 21, you have seen this movie. You have seen it many times with many different names. But you have in fact seen it. I promise you."
Wendy and Lucy             ,doctorprogress,1,drama,2008,8,"The true triumph of this film is its ability to say so much about the cold, cruel reality of just how close some people are to breaking their banks and their hearts. What fascinates me is: there are a few big budget films out there right now - all scrambling desperately to capture the same themes as W&L - that have no concept of how real people really act and survive. Those filmmakers must be pulling their hair out screaming ""how can she say it all with one woman and a dog, and I can't say a damned thing with all these great special effects???""That is the joy in this film. The simple, honest, brutal truth of now. Enjoy. "
Changeling             ,tomrito,1,misc,2008,9,"Watching this film is like taking a look back in time. Everything is picture perfect, the beautiful automobiles, the red electric street cars, the telephones, the switchboard station with roller-skating supervisors, the house appliances, and the outstanding clothing, from dresses to hats to police uniforms, everything is meticulously detailed. The story, which we are told is true, is complex and multifaceted. Angelina Jolie, who plays Christine Collins, gives an outstanding performance as a single mother who returns home from work to find that her son is missing. This puts into motion a series of events that exposes the reality of what Los Angeles society was really like in the late 1920's. Corrupt Police, uncaring and self absorbed mental health professionals and the basic premise that people left to their own ambitions will do anything to secure their own prosperity. Although this paints a bleak picture of the human condition, the film show that the actions of a few good men can make a world of difference, John Malkovich as Reverend Gustav Briegleb, is determined to expose the corrupt Police in his radio talk show, Michael Kelly as detective Lester Ybarra, although hampered by his superiors, uncovers what really happened to the boy and the unlikely hero, a powerful attorney who takes her case pro-bono comes to her rescue. If indeed this is a true story, then to see these people stand up to the powers that be is a ray of hope to all of us that there were people who were strong and principled. We can only hope that there are still people like that out there today. 1"
Julia             ,catsklgd1,1,crime,2012,3,"Julia is a schizophrenic piece of filmmaking if ever there was one. It can't decide whether or not it's a serious drama or a dark comedy. Only a terrific performance by Tilda Swinton in the lead part and a couple of decent bit part performances by American and foreign actors are all that save this pathetic film from rating just one star instead of the three that I mercifully gave it. In fact, the performance by the actress that played the boy's mother bordered on a caricature. Oh sure, there were some decent scenes, but the time between them was filled with inane dialog and implausible plot faults. There were too many unexplained lapses in continuity, including an absurd sequence of events in the Southern California/Mexican desert. The story is so improbable as to be ridiculous and the script is uneven and fractured. I will admit that the cinematography is decent, as is the editing. But to rate this film any more than three stars would be to offer a disservice to those films that actually ""earned"" a rating that was higher than that. Except for Ms. Swinton's excellent performance as a disjointed, delusional, dysfunctional alcoholic, Julia was a complete waste of this viewer's tim"
Forgetting Sarah Marshall             ,Smells_Like_Cheese,1,comedy,2008,7,"Forgetting Sarah Marshall, definitely the biggest movie that everyone was looking forward to seeing this year. Apatow has had nothing but big success with his comedies: 40-year-old Virgin, Knocked Up, Superbad, Walk Hard, and now Forgetting Sarah Marshall, their next big hit. Also Jason Segal's first major script brought to life, I have to say he's got talent, the reason I say that? These characters... they're likable! Not only are the likable, they are real and people you could relate too! For example, Sarah Marshall's new boyfriend that she broke up with Peter for, yeah, he's a little bit of a moron, but you know what? You could understand why people liked him, he was pretty cool, even the girlfriend, Sarah, yeah, she was a jerk, but so real and also you don't get too mad at her with her reason on why she fell out of love with Peter. Forgetting Sarah Marshall has great laughs and a fun story.Sarah Marshall: hot actress, beautiful, and a fun person, just broke up with her musician boyfriend, Peter. He's just heartbroken and needs to get away for a while, so he goes to Hawaii, but guess what? Sarah is there with her new rock star boyfriend, Aldous Snow, and things are not seeming to go his way. But when he meets Rachel Jenson, the nice and really pretty hotel clerk, they go out and he ends up realizing that maybe this break up wasn't such a big deal after all.Forgetting Sarah Marshall is a funny movie, I guarantee you are going to laugh. I do have one complaint, the male nudity, now it's not that I'm a prude at all, just this was more uncomfortable than funny with Jason exposing all his assets. I don't know, just that type of humor isn't funny with me, male or female, just depending on the joke, but this was more awkward. But I do think this is a fun movie, it has a great story and really makes you laugh and just have a good time with these characters, it's a good recommendation from me.7/10 "
Fireflies in the Garden             ,lgilbertom,0,drama,2009,7,"I watched this movie on DVD and I confess that I rented reluctantly this movie. However, I had a pleasant surprise, the story is about a boy who in his adult version is played by Ryan Reynolds with serious relationship problems with his father (William Dafoe). I am really surprise with Ryan Reynolds performance, also the young Michael with play Cayden Boyd. The whole story in one way or another turn around the problem of relationship between both. The movie uses well the flashback resource to show the problems of this family and especially the problems between Michael and his father. Naturally, there are good interpretations of the rest of the cast especially for Emily Watson(Michael's Aunt). A movie that really is worth watching."
I Sell the Dead             ,carbuff,,misc,2015,8,"Entertaining black comedy. Doesn't have the poignancy, depth, or biting wit to be truly great or emotionally involving, but is still better than 95% of what's out there. The stuff that's gruesome is pretty tame by modern standards. For some reason, the way the film hit me is how I remember the original ""Beatlejuice"", which isn't a bad thing. Not a horror flick at all or even a very dark comedy--more along the lines of a very good late night horror spoof. I just popped some corn, kicked back and had an uncomplicated good tim"
Frost/Nixon             ,tranquilbuddha,0,misc,2008,NA,"Frank Langella's performance as Nixon is truly moving in this remarkable film by Ron Howard, which gripped me for its entirety. As someone who grew up during the Watergate hearings, and who reviled Nixon as the embodiment not just of corruption but of the worst kind of interventionist, even genocidal, American politics, this film gives substance to a man who, in later years (especially the GW Bush years, which make Nixon look like a political and intellectual colossus), achieved something of a place in history beyond the scandal of Watergate.But what Frost/Nixon - and in particular Langella - does is give humanity to the man. We see his arrogance, his love of power, his need to win (hinted at wonderfully in a moment when he is jogging in his San Clemente home to rousing music), but we also see his inner conflicts, his regrets, the fact that perhaps more than simply his crimes regarding Watergate haunted him - that the impact of his decisions on South East Asia were not entirely remote from him, either. And in a sequence that I will not reveal, to avoid spoiling the plot, we also see a hint of his madness, for it is that, I think, rather than senility. (You have to see it to understand this.)Ron Howard and playwright/screenwriter Peter Morgan have achieved a remarkable feat in adapting the stage play, which sadly I did not see. Not for a moment does this feel stage bound; instead it is a compelling human portrait of two men - for Frost is fascinating, too, and Michael Sheen captures both his much criticized (at the time) surface gloss and also his deeper fears - but above all of the impact that each of our decisions, large and small, and not least if you are leader of the ""Free World,"" have on us all."
Nights in Rodanthe             ,Otoboke,1,drama,2008,NA,"Starting off with a promising first act with lightly interesting and developed characters, rich in personality and with hints of chemistry between the two love interests, Nights in Rodanthe is a train wreck if ever there was on; giving meaning to the fact that even if a movie starts out well, it can end up in the gutter pretty quickly. Following on from the opening, the movie then resorts to cheap melodramatic contrivances, and demeans both its characters and performers by negating their roles to mere romantic plot devices used to set up act three's ridiculously sappy ending. The middle act, which finds both characters slowly falling for each other, isn't all that bad, and while it does get irksome towards the end, even such a closing would have saved the movie from being a complete disaster. Nevertheless, with a few moments of interest, usually inherent in the performance of Gere, Nights in Rodanthe isn't without its positives, but you certainly have to do a lot of looking to find them.As a romantic drama, Nights tries to do one thing and one thing only and that is to make with the mushy. Director George C. Wolfe in his big screen debut here opts to take this to an extreme however, and even goes to the point of rejecting any focus at all on characters past the half-way mark. After this point, Nights in Rodanthe turns into a holiday from hell. Mawkish, banal and overly pretentious, both Wolfe and the writers here adopt a tone of whimsy light-headedness that often clashes with the story's much more serious (at least, that's what it tries to be) subplot involving a death caused by one of these characters. What's more annoying is that the movie's earlier sequences, which although clearly unfocused and seemingly directionless, at least had some humanity present in its central figures, these earlier moments of promise are forgotten. After forty minutes or so, all that's left for Wolfe to do is to drag on the romance as far as he can to the point where we're no longer watching real people fall in love, we're simply watching an outline for a romance movie. Character A and Character B going through the motions<U+0085> Yawn. Haven't we done this before? To be fair both performers try and make the best of their undoubtedly tricky situation. Throughout there are moments of genuine chemistry between both Gere and Lane, and while the romance isn't exactly palpable enough to sustain much interest past the halfway mark, they at least keep the thing going as best as they can. Essentially however you get the feeling that both would rather be somewhere else; in between these instances of chemistry are scenes which fail to deliver any emotion whatsoever, even though the director seems sure that what he's doing is going to get your eyes watery. The truth is, Nights in Rodanthe is a sappy, overly emotional romantic drama; so much so that it's absurd. I can't feel for these people and I can't feel for their petty outbreaks of self-loathing angst. When I begin arguing with characters in my head whilst I'm obviously supposed to be feeling pity for them, I disconnect; it's over. Stop trying to engage me. This happened an hour into Nights in Rodanthe, and although I could have been won back, sadly it only gets worse from there.It's hard to see why anyone would enjoy such a film. Sure enough if you're a major fan of ""weepies"", for some reason enjoy watching people cry a lot and don't mind romance that feels generic and predictable then you might just get something from Nights, but even then you'll probably feel under-whelmed. There's no denying I had hope for this film; with Gere and Lane helming what looked to be a mature love story, I figured the worst that could happen would be if I was subjected to a teaspoon of fairy tale whimsy. Unfortunately however, I did get that, and I also got a shallow, unremarkable feature that was essentially a few scenes drawn out far too long with a third act that wasn't necessary or even enjoyable in the slightest. Some decent individual performances throughout, but with limited chemistry and an overwritten, overly romanticised script, Nights in Rodanthe isn't a night to remember by any means.A review by Jamie Robert Ward (http://www.invocus.net)"
Wanted             ,andy-1978,1,action,2009,8,"This is a very easy to watch action packed movie. It delved into your imagination and as long as you are not expecting a true to life action drama you should love it. I am not normally struck on the matrix style movies but I really liked this film. The story is not be taken too seriously, just go with the flow of the film and watch the stunts and special effects. Putting Angelina Jolie and Morgan Freeman in the movie had to be a good move with the box office bucks. But the ace card for this movie in my opinion is James McAvoy who plays the geeky guy who turns into a top assassin. At first I did not recognize James McAvoy from his previous roles like "" The last King of Scotland "" and ' Wimbledon "". When I did realize it was the same actor I understood what a fab actor he truly is. He portrays his character with absolute ease. His transition in his role from the start of the movie to his ending character is class. James I am a true fan !! The movie is a good watch if you are into this type of movie."
The Express             ,TamPalm,,misc,2008,7,"Really I think more like a 6.5 or 6.75 is a more appropriate rating. But it DEFINITELY deserves higher than the 5.4 it has now on this site! Wow, I was surprised to see such a low score. The movie is not the best movie ever, but it is good. The acting is stellar. The story is inspirational. It's a feel-good movie and it's family-friendly to boot, which warrants some kind of kudos in my book. I think the plot could have been fleshed out a little more, and perhaps a better writer or director (I have no idea who wrote or directed this by the way) could have brought more drama and impact to the script. But even with a mediocre script, it's a memorable movie. My criteria is this: if I'm thinking about the movie after I walk out of the theater, it's a winner. This story touched me and it was delivered in a way that hit that ""special"" place in my heart, and I'm not a pansy. So I say, give it a try. You won't be bored, you might not be thrilled, but you will smile and feel all tingly inside, and isn't that just about enough? I think so. See it"
